Langscape Language Solutions Pvt Ltd	1 A, Thilagar Street, Sri Balaji Nagar, Thundalam, Thiruverkadu Post Chennai, Tamil Nadu India	Langscape 91-44-26540320		4-9 employees	100+ languages supported	1021372_r57ade0e9554fc.png
""	Verkiu 25C-1 Vilnius, Vilniaus Apskritis Lithuania	synergiumAB	http://www.synergium.eu	Less than 3 employees		2202187_r570eae8aadb5c.png
Assertio Language Services		assertio	http://www.assertio-language-services.com	10-25 employees	25-49 languages supported	54178_r502b9f99045e2.jpg
""	Mumbai, Maharashtra India	Saba Shukla			2-4 languages supported	1124756_r57de5ac0e10e0.png
Sintaxis - Translation Services	Porto, Porto Portugal	Raquel Neto	http://www.sintaxis.com.pt		5-9 languages supported	70306_r4925985cab3db.jpg
""		László Kovács		10-25 employees	2-4 languages supported	
langup	Anseong, Kyonggi-do South Korea	langup 82 31 244 6417	http://www.langup.com	Less than 3 employees	2-4 languages supported	
""	Sakarya St İnkılap, no: 8/78 Çankaya Ankara, Ankara Turkey	alletrans	http://www.alletranslations.com/		10-24 languages supported	2063470_r55466a95a7c86.jpg
Global Lingo	Southbank House, Black Prince Road London, England United Kingdom	Global LingoLtd		25-50 employees	100+ languages supported	609884_r48a55c6c1d409.jpg
""	Netherlands	Duo Vertaalburo				
""	Cairo, Al Qahirah Egypt	Chairman_Trans		10-25 employees	100+ languages supported	2113429_r560ad3914fb5f.jpg
BeLocalized	Egypt	BeLocalized	http://www.belocalized.com		5-9 languages supported	623390_r4ac9fabd62d1c.png
Hands-On English, Plus	Paris, Ile-De-France France	HandsOn22 0142820363	http://www.hands-on-english.com/	25-50 employees	100+ languages supported	2228837_r57e0397555755.jpg
""	Brighton, England United Kingdom	Zagabria	http://www.zagabriamedical.com		10-24 languages supported	668326_r47e166bdb691e.gif
tbd lic.iur. H. Sgarbi	Bickelstrasse 12, www.tbdtranslations.com Oberrieden, Zurich Switzerland	tbdTRANSLATIONS	http://tbdtranslations.com		100+ languages supported	2153999_r56787810d9f72.png
""		ADAPT		25-50 employees		604526_r453cb89683845.gif
""	Antiguo Camino s/n Agua de Oro, Cordoba Argentina	Claudio Seelig +54 (03525) 493627				
Dice Vertalingen bvba	Ter Varentstraat 42 Mortsel, Antwerpen Belgium	Dirk Ceelen +32 (03) 449 52 99	http://www.dice.be	Less than 3 employees	10-24 languages supported	971866_r4f202e4766737.jpg
RixTrans	Bauskas 58a, Valdo Office Complex Latvia	rixtrans.com +371 26 686 333	http://www.rixtrans.com	4-9 employees	10-24 languages supported	1609144_r4fd6fcbd3b995.jpg
L10N House	91 Ahmed Orabi St.- El-Mohandseen Giza, Al Jizah Egypt	L10N House (+202) 3345 0886	http://www.L10NHouse.com	10-25 employees	50-99 languages supported	1581280_r4f8958f4d6d18.jpg
""	Asheville, North Carolina United States	Adriana Adarve +1 (828) 350 8369	http://www.Adarvetranslations.com	Less than 3 employees	25-49 languages supported	63827_r56f5e7e10c5aa.jpg
""		dstoquart		25-50 employees	5-9 languages supported	8678_r48b5a32c7ee57.jpg
T&I Portfolios GmbH - Dipl.-Übersetzer Jörn Marx	Am Wäldchen 9 Riegelsberg Germany	T&I Portfolios +49 (6806) 49 76 180	http://www.ti-portfolios.com/	Less than 3 employees	100+ languages supported	91998_r4a66db5db42b8.jpg
TranslationPanacea	Pune, Maharashtra India	TranslationPanacea TranslationPanacea +912065005814	http://www.translationpanacea.in/	50-100 employees	25-49 languages supported	2114053_r56054df529fd8.jpg
Language Partners	D-3-9, Ritze Perdana, Damansara Perdana, 5, Jalan PJU8/2, Damansara Perdana Petaling Jaya, Selangor Malaysia	Marvin Yap +60 (3) 7726 3000	http://www.languagepartners.net	Less than 3 employees	10-24 languages supported	611996_r4f95fe66ea47f.png
Biuro Tłumaczeń Werbatis	Kiekrz, ul. Starzyńska 22, 62-090 Rokietnica Poznan, Wielkopolskie Poland	Werbatis +48 61 307 15 76	http://werbatis.pl/		100+ languages supported	2063584_r5547246f1f502.jpg
Rebuild Babel	Houston, Texas United States	Ralph Srouji	http://www.rebuildbabel.com		100+ languages supported	982837_r49807a3766d6f.jpg
""	Orem, Utah	Alan Lambson				
Italian Translations Company, LLC	7241 Hanover Pwy, Suite C Greenbelt, Maryland United States	Mark Pisoni 3014040439	http://https://branded.me/mark-pisoni	4-9 employees	2-4 languages supported	29852_r52448c5a1660a.jpg
